,filename,genre,author,title,soul,heart,tears,eyes,spirit,hands,blood,body,breath,wound,senses,face,mind,arms,limbs,breast,head,varia,ears,legs,sweat,mouth,cheeks,termcount,tongue,hair,bile,stomach,conscience,throat,voice,knees,neck,brain,veins,lips,tooth,womb,jaws,phlegm,marrow,bones,shins,intestines,wrists,feet,longs,horns,shoulder
0,quin031spoo02_01.xml,spaans,Philippe Quinault,De spookende minnaar,1.5248796147672552,1.8459069020866774,0.32102728731942215,0.4815409309791332,0.521669341894061,0.20064205457463885,0.521669341894061,0.16051364365971107,0.04012841091492777,0.2808988764044944,0.521669341894061,0.4012841091492777,0.4815409309791332,0.08025682182985554,0.04012841091492777,0.2407704654895666,0.08025682182985554,0.1203852327447833,0.1203852327447833,0.04012841091492777,0.04012841091492777,0.04012841091492777,0.08025682182985554,24920,,,,,,,,,,,,,,,,,,,,,,,,,
1,lope001joan01_01.xml,spaans,Félix Lope de Vega,Joanna koningin van Napels of Den trotzen dwinger,3.4503271861986913,3.093396787626413,0.4164187983343248,0.35693039857227843,0.0594883997620464,0.17846519928613921,0.17846519928613921,0.1189767995240928,,0.0594883997620464,0.17846519928613921,0.0594883997620464,0.0594883997620464,,0.0594883997620464,0.29744199881023203,0.0594883997620464,,0.29744199881023203,,,0.0594883997620464,,16810,0.1189767995240928,0.17846519928613921,0.0594883997620464,,,,,,,,,,,,,,,,,,,,,,
2,leeu004tove02_01.xml,spaans,Adriaen Bastiaensz Leeuw,De toveres Circe,0.6415465548950001,1.0692442581583337,0.21384885163166673,0.29938839228433345,0.12830931097900006,0.2566186219580001,0.12830931097900006,0.12830931097900006,,,0.2566186219580001,0.1710790813053334,0.21384885163166673,0.1710790813053334,0.04276977032633335,0.1710790813053334,,0.12830931097900006,0.12830931097900006,,,,,23381,,0.04276977032633335,,0.04276977032633335,0.04276977032633335,0.04276977032633335,0.0855395406526667,,,,,,,,,,,,,,,,,,
3,rotr001groo02_01.xml,spaans,Jean Rotrou,Den grooten Bellizarius,1.2570102494681878,1.7888222780893444,0.14503964416940632,1.0636240572423128,0.09669309611293753,0.5318120286211564,,,,0.04834654805646876,0.29007928833881264,0.29007928833881264,0.29007928833881264,0.3867723844517501,0.04834654805646876,0.29007928833881264,0.04834654805646876,0.29007928833881264,0.24173274028234384,,,0.14503964416940632,,20684,0.04834654805646876,0.04834654805646876,,,,,0.04834654805646876,0.04834654805646876,,,,,,,,,,,,,,,,,
4,lope001bekl02_01.xml,spaans,Félix Lope de Vega,De beklaagelyke dwang,2.344454463480613,0.8115419296663661,0.09017132551848513,0.45085662759242556,0.18034265103697025,0.3606853020739405,0.09017132551848513,0.09017132551848513,,0.09017132551848513,0.09017132551848513,0.5410279531109108,0.18034265103697025,,0.09017132551848513,0.6311992786293958,0.2705139765554554,,,,,0.09017132551848513,,11090,0.2705139765554554,,,,,,,,0.09017132551848513,0.09017132551848513,,,,,,,,,,,,,,,
5,lope001gedw04_01.xml,spaans,Félix Lope de Vega,Gedwongen vriendt,0.870849267350725,0.5679451743591686,,0.18931505811972282,0.03786301162394457,0.34076710461550114,0.07572602324788914,0.18931505811972282,,,0.18931505811972282,0.11358903487183371,0.1514520464957783,,0.11358903487183371,0.07572602324788914,0.11358903487183371,0.03786301162394457,,,,,,26411,0.03786301162394457,0.03786301162394457,,,,,,,,,,,,,,,,,,,,,,,
6,mira010verw02_01.xml,spaans,Antonio Mira de Amescua,Verwarde hof,0.944549394377153,1.11123458162018,0.277808645405045,0.666740748972108,0.055561729081009,0.444493832648072,0.277808645405045,,,,0.222246916324036,0.333370374486054,0.611179019891099,0.111123458162018,0.222246916324036,0.666740748972108,0.055561729081009,0.055561729081009,0.055561729081009,,,0.055561729081009,,17998,0.166685187243027,0.111123458162018,,,,,0.111123458162018,,,,0.055561729081009,0.055561729081009,0.055561729081009,,,,,,,,,,,,
7,corn001cid_02_01.xml,spaans,P. Corneille,De Cid,0.7144451886581826,1.607501674480911,0.26791694574681846,0.44652824291136417,,0.8037508372404555,0.8484036615315919,0.08930564858227283,,0.08930564858227283,0.22326412145568209,0.044652824291136414,0.6697923643670461,0.40187541862022774,0.044652824291136414,0.17861129716454566,0.6697923643670461,,0.13395847287340923,,,,,22395,,0.044652824291136414,,,,,,,,,,,0.044652824291136414,0.044652824291136414,,,,,,,,,,,
8,lope001dull01_01.xml,spaans,Félix Lope de Vega,Den dullen ammirael of Stryt om d'eer,1.2483147750536776,1.6477755030708543,0.1997303640085884,0.4493933190193239,0.0499325910021471,0.1997303640085884,0.1997303640085884,,,,0.14979777300644131,0.29959554601288263,0.3994607280171768,0.0499325910021471,0.0499325910021471,0.1997303640085884,0.0998651820042942,0.0499325910021471,0.0998651820042942,,,,,20027,,0.0499325910021471,,,,,,,,,,,0.0499325910021471,,,,,,,,,,,,
9,vond001jose05_01.xml,vondels_toneel,Joost Vondel,Joseph in Dothan,0.05319997872000851,1.1171995531201786,0.37239985104005957,0.26599989360004256,0.10639995744001703,0.05319997872000851,0.05319997872000851,,,0.10639995744001703,0.10639995744001703,0.26599989360004256,0.10639995744001703,,0.10639995744001703,0.10639995744001703,0.21279991488003405,,0.10639995744001703,0.05319997872000851,0.05319997872000851,,0.21279991488003405,18797,0.05319997872000851,0.21279991488003405,,,,0.26599989360004256,,,0.05319997872000851,0.05319997872000851,,,,,0.05319997872000851,0.05319997872000851,,,,,,,,,
