,filename,genre,author,title,hatred,sadness,despair,fear,offended,joy,hope,love,moved,desire,disgust,benevolence,annoyance,compassion,other,worry,loyalty,shame,vindictiveness,anger,heavyHeartedness,dedication,unhappiness,happiness,pride,dissapointment,loss,relief,wonder,remorse,spitefulness,aquiescence,envy,awe,greed,honor,trust,suspicion,termcount
0,quin031spoo02_01.xml,spaans,Philippe Quinault,De spookende minnaar,1.765650080256822,4.13322632423756,1.6051364365971108,6.902086677367576,1.2439807383627608,4.293739967897271,1.565008025682183,7.2632423756019255,1.6853932584269664,2.6886035313001604,1.4044943820224718,0.6420545746388443,1.0032102728731942,1.203852327447833,1.8459069020866774,2.6484751203852324,2.568218298555377,0.36115569823434995,2.0064205457463884,1.9261637239165328,2.568218298555377,2.8089887640449436,1.2841091492776886,1.043338683788122,0.4414125200642055,0.32102728731942215,0.6821829855537721,0.32102728731942215,0.6821829855537721,1.2439807383627608,0.4414125200642055,0.4414125200642055,0.4815409309791332,0.16051364365971107,0.5617977528089888,0.2808988764044944,0.08025682182985554,0.1203852327447833,24920
1,lope001joan01_01.xml,spaans,Félix Lope de Vega,Joanna koningin van Napels of Den trotzen dwinger,2.022605591909578,5.116002379535991,1.6656751933372993,5.472932778108269,2.201070791195717,4.46162998215348,1.0707911957168352,6.365258774538964,1.6656751933372993,2.4985127900059485,1.7251635930993456,0.9518143961927424,2.795954788816181,1.1897679952409281,2.4985127900059485,2.676977989292088,3.6287923854848305,0.6543723973825104,1.4277215942891137,2.260559190957763,3.271861986912552,4.818560380725758,0.6543723973825104,1.2492563950029743,1.0707911957168352,0.5353955978584176,0.4759071980963712,0.6543723973825104,0.7138607971445569,1.6061867935752527,1.2492563950029743,0.1189767995240928,0.7733491969066032,0.6543723973825104,1.0707911957168352,1.011302795954789,0.5948839976204641,0.1189767995240928,16810
2,leeu004tove02_01.xml,spaans,Adriaen Bastiaensz Leeuw,De toveres Circe,0.3849279329370001,2.822804841538001,0.8126256362003336,3.934818870022668,0.8981651768530002,3.806509559043668,0.7270860955476669,3.0366536931696677,0.8126256362003336,2.1812582866430006,0.9409349471793336,0.5132372439160002,0.8553954065266669,0.3421581626106668,1.3686326504426671,0.983704717505667,0.6843163252213336,0.1710790813053334,1.1547837988110004,1.7107908130533338,1.8818698943586671,0.983704717505667,0.4704674735896668,0.2566186219580001,1.5397117317480005,0.3421581626106668,0.3421581626106668,0.21384885163166673,0.5132372439160002,0.4704674735896668,0.8553954065266669,0.4704674735896668,0.5132372439160002,0.12830931097900006,0.5560070142423336,0.3421581626106668,0.04276977032633335,0.2566186219580001,23381
3,rotr001groo02_01.xml,spaans,Jean Rotrou,Den grooten Bellizarius,2.465673950879907,3.14252562367047,0.7251982208470316,4.157803132856315,1.8855153742022819,2.7557532392187194,1.2570102494681878,3.8193772964610324,1.0636240572423128,1.4987429897505318,1.0636240572423128,0.6768516727905628,1.9822084703152196,0.5318120286211564,1.5954360858634693,1.2570102494681878,0.9185844130729066,0.3867723844517501,1.7404757300328757,1.7888222780893444,2.1755946625410947,1.2086637014117192,0.14503964416940632,0.7251982208470316,0.9185844130729066,0.4351189325082189,0.3384258363952814,0.4351189325082189,0.7251982208470316,0.6285051247340939,1.1603171533552505,0.4351189325082189,0.3867723844517501,0.19338619222587505,0.3384258363952814,0.5801585766776253,0.14503964416940632,,20684
4,lope001bekl02_01.xml,spaans,Félix Lope de Vega,De beklaagelyke dwang,1.0820559062218216,2.885482416591524,1.1722272317403064,5.770964833183048,1.532912533814247,6.221821460775473,1.2623985572587917,6.221821460775473,1.2623985572587917,2.4346257889990985,1.0820559062218216,0.3606853020739405,1.8034265103697023,1.0820559062218216,1.9837691614066726,2.254283137962128,1.352569882777277,0.2705139765554554,1.7132551848512174,2.344454463480613,1.1722272317403064,2.4346257889990985,0.8115419296663661,1.2623985572587917,1.352569882777277,0.6311992786293958,0.18034265103697025,0.9918845807033363,0.6311992786293958,0.6311992786293958,0.6311992786293958,0.721370604147881,0.45085662759242556,0.9918845807033363,1.442741208295762,0.5410279531109108,0.09017132551848513,0.45085662759242556,11090
5,lope001gedw04_01.xml,spaans,Félix Lope de Vega,Gedwongen vriendt,0.9844383022225589,3.180492976411344,1.4766574533338384,5.149369580856461,1.400931430085949,5.1115065692325174,1.400931430085949,3.8998901972662905,1.0980273370943925,3.029040929915565,1.4766574533338384,1.3252054068380599,1.74169853470145,1.4766574533338384,2.498958767180342,1.400931430085949,1.9688766044451178,0.7193972208549468,2.3475067206845632,2.5746847904282304,2.801862860171898,2.6504108136761197,0.9465752905986142,1.1358903487183372,1.249479383590171,0.6815342092310023,0.5679451743591686,0.49221915111127945,0.8329862557267805,1.0980273370943925,1.0223013138465034,0.9465752905986142,0.7572602324788913,0.37863011623944565,1.249479383590171,0.5679451743591686,0.34076710461550114,0.03786301162394457,26411
6,mira010verw02_01.xml,spaans,Antonio Mira de Amescua,Verwarde hof,0.944549394377153,2.444716079564396,1.000111123458162,3.5003889321035673,1.000111123458162,2.666962995888432,1.1667963107011892,3.055895099455495,0.944549394377153,1.889098788754306,0.888987665296144,0.222246916324036,1.777975330592288,0.777864207134126,1.333481497944216,0.944549394377153,1.611290143349261,0.222246916324036,2.055783975997333,1.722413601511279,1.222358039782198,1.944660517835315,0.333370374486054,1.11123458162018,0.500055561729081,0.388932103567063,0.055561729081009,0.333370374486054,0.8334259362151349,0.611179019891099,1.1667963107011892,0.388932103567063,0.388932103567063,0.222246916324036,0.888987665296144,0.444493832648072,0.111123458162018,0.055561729081009,17998
7,corn001cid_02_01.xml,spaans,P. Corneille,De Cid,1.1609734315695468,3.3043089975440947,0.8037508372404555,4.286671131949095,1.1609734315695468,3.5275731189997765,1.6521544987720473,4.73319937486046,0.7144451886581826,1.5181960258986382,0.8037508372404555,0.49118106720250054,2.7238222817593214,0.6697923643670461,1.4288903773163653,1.3842375530252289,2.6345166331770487,0.44652824291136417,3.1703505246706856,1.920071444518866,1.7861129716454567,1.5181960258986382,0.8037508372404555,1.2502790801518195,0.6697923643670461,0.5358338914936369,0.26791694574681846,0.3125697700379549,0.40187541862022774,1.2949319044429561,1.2056262558606832,0.5358338914936369,0.13395847287340923,0.08930564858227283,0.49118106720250054,1.1609734315695468,0.044652824291136414,,22395
8,lope001dull01_01.xml,spaans,Félix Lope de Vega,Den dullen ammirael of Stryt om d'eer,1.3981125480601186,3.595146552154591,1.1484495930493834,4.743596145203975,1.5479103210665601,2.8461576871223846,1.3481799570579716,6.990562740300594,1.497977730064413,1.9473710490837368,1.2483147750536776,0.9487192290407949,1.8974384580815897,1.0485844110450893,2.546562141109502,2.0971688220901785,1.6477755030708543,0.5492585010236182,1.2982473660558247,2.5964947321116494,2.446696959105208,3.3954161881460028,0.29959554601288263,1.3981125480601186,0.6990562740300593,0.5991910920257653,0.29959554601288263,0.7489888650322065,0.5492585010236182,0.6990562740300593,0.7989214560343536,0.9487192290407949,0.3994607280171768,0.4493933190193239,0.9986518200429421,0.9487192290407949,0.49932591002147103,0.6491236830279123,20027
9,vond001jose05_01.xml,vondels_toneel,Joost Vondel,Joseph in Dothan,0.7979996808001277,2.393999042400383,0.8511996595201362,1.0107995956801619,0.21279991488003405,0.5319997872000851,0.05319997872000851,0.5319997872000851,,,0.21279991488003405,,0.05319997872000851,0.4787998084800766,0.15959993616002555,0.15959993616002555,0.15959993616002555,0.15959993616002555,0.4255998297600681,0.8511996595201362,0.05319997872000851,,,0.10639995744001703,,0.15959993616002555,,0.10639995744001703,,0.6383997446401022,0.37239985104005957,0.15959993616002555,0.26599989360004256,,,0.15959993616002555,,0.21279991488003405,18797
