,filename,genre,author,title,anger,sadness,despair,desire,love,joy,disgust,posSentiments,fear,compassion,prideHonour,termcount
0,quin031spoo02_01.xml,spaans,Philippe Quinault,De spookende minnaar,6.6211878009630825,7.142857142857142,2.407704654895666,3.451043338683788,9.91171749598716,6.6211878009630825,1.765650080256822,2.6484751203852324,8.667736757624398,1.203852327447833,0.7223113964686999,24920
1,lope001joan01_01.xml,spaans,Félix Lope de Vega,Joanna koningin van Napels of Den trotzen dwinger,9.934562760261748,8.26888756692445,2.022605591909578,4.045211183819156,11.897679952409279,7.1980963712076145,2.3200475907198093,3.1528851873884594,7.674003569303985,1.1897679952409281,2.022605591909578,16810
2,leeu004tove02_01.xml,spaans,Adriaen Bastiaensz Leeuw,De toveres Circe,4.704674735896668,4.875753817202002,0.8981651768530002,3.079423463496001,4.148667721654334,4.875753817202002,1.1120140284846671,1.7107908130533338,4.790214276549335,0.3421581626106668,1.839100124032334,23381
3,rotr001groo02_01.xml,spaans,Jean Rotrou,Den grooten Bellizarius,8.557339005994972,5.318120286211565,0.8702378650164379,2.0789015664281574,5.12473409398569,5.12473409398569,1.4503964416940631,2.0789015664281574,4.834654805646877,0.5318120286211564,1.3537033455811256,20684
4,lope001bekl02_01.xml,spaans,Félix Lope de Vega,De beklaagelyke dwang,7.033363390441839,4.41839495040577,1.8034265103697023,4.328223624887286,9.017132551848512,8.205590622182147,1.352569882777277,2.073940486925158,7.484220018034264,1.0820559062218216,1.8935978358881875,11090
5,lope001gedw04_01.xml,spaans,Félix Lope de Vega,Gedwongen vriendt,7.345424255045246,6.323122941198743,2.0446026276930067,4.39210934837757,6.626027034190299,7.345424255045246,2.0446026276930067,3.3698080345310664,6.247396917950854,1.4766574533338384,1.74169853470145,26411
6,mira010verw02_01.xml,spaans,Antonio Mira de Amescua,Verwarde hof,6.334037115235026,4.056006222913657,1.333481497944216,2.833648183131459,5.500611179019891,4.7227469718857655,0.944549394377153,1.5001666851872428,4.167129681075675,0.777864207134126,0.888987665296144,17998
7,corn001cid_02_01.xml,spaans,P. Corneille,De Cid,8.35007814244251,5.269033266354097,1.4735432016075016,2.0986827416834113,7.635632953784326,5.715561509265461,1.2502790801518195,1.74146014735432,5.045769144898415,0.6697923643670461,1.74146014735432,22395
8,lope001dull01_01.xml,spaans,Félix Lope de Vega,Den dullen ammirael of Stryt om d'eer,7.839416787337095,6.241573875268387,1.3981125480601186,3.2456184151395617,9.98651820042942,5.642382783242622,1.5978429120687072,3.495281370150297,6.840764967294152,1.0485844110450893,1.6477755030708543,20027
9,vond001jose05_01.xml,vondels_toneel,Joost Vondel,Joseph in Dothan,2.393999042400383,3.191998723200511,0.8511996595201362,0.26599989360004256,0.6915997233601107,0.7979996808001277,0.37239985104005957,0.15959993616002555,1.3831994467202213,0.4787998084800766,0.15959993616002555,18797
10,vond001pala01_01.xml,vondels_toneel,Joost Vondel,Palamedes oft Vermoorde onnooselheyd,3.3134804127170536,0.9227413807566479,0.41942790034393085,0.12582837010317927,0.20971395017196542,0.6710846405502894,0.25165674020635853,0.041942790034393086,1.3421692811005788,0.08388558006878617,0.20971395017196542,23842
11,vond001luci01_01.xml,vondels_toneel,Joost Vondel,Lucifer,3.9282440748985206,4.059185544061804,0.8729431277552266,1.396709004408363,2.837065165204487,4.190127013225089,0.6983545022041815,1.7022390991226921,3.6227139801841908,0.8292959713674654,1.789533411898215,22911
12,vond001hier01_01.xml,vondels_toneel,Joost Vondel,Hierusalem verwoest,5.559657733570777,4.6040915606133,1.0424358250445207,1.6505233896538245,2.3454806063501716,4.213178126221604,1.129305477131564,1.8242626938279112,3.822264691829909,0.9555661729574773,1.433349259436216,23023
13,vond001gysb04_01.xml,vondels_toneel,Joost Vondel,Gysbreght van Aemstel,1.743256985133892,2.5664616725582294,1.0653237131373783,0.3389666359982567,1.5011379594208512,1.4527141542782431,0.09684761028521621,0.19369522057043242,1.9853760108469323,0.3389666359982567,0.29054283085564864,20651
14,vond001pasc02_01.xml,vondels_toneel,Joost Vondel,Het Pascha ofte de Verlossinge Israëls uyt Egypten,2.191529483716426,2.3444268895571074,0.3057948116813618,0.7135212272565109,2.1405636817695326,2.8540849090260436,0.40772641557514905,0.56062382141583,2.2934610876102135,0.3057948116813618,0.6625554253096173,19621
15,vond001salm02_01.xml,vondels_toneel,Joost Vondel,Salmoneus,5.520133510205828,3.4233386109803585,1.3693354443921435,2.225170097137233,2.3535452950489963,4.835465788009756,1.1125850485686164,2.310753562411742,4.10800633317643,0.8130429201078351,2.6102956908725234,23369
16,vond001elek01_01.xml,vondels_toneel,Joost Vondel,Elektra,7.4304889741131355,7.550335570469799,1.7976989453499521,2.2171620325982744,4.014860977948226,6.052253116011506,1.318312559923298,1.8576222435282839,4.853787152444871,0.7190795781399808,1.318312559923298,16688
17,vond001maeg04_01.xml,vondels_toneel,Joost Vondel,Maeghden,5.097435352838104,5.097435352838104,1.1150639834333351,1.4336536929857167,4.300961078957149,4.035469654330165,1.3274571231349228,2.1770296819412733,4.4602559337333405,0.6902777040301598,1.168162268358732,18833
18,cost001rako01_isabella.xml,senecaans_scaligeriaans,Samuel Coster,Isabella,5.231192091146872,4.6992064547590555,1.0196391364099837,2.305271091013876,5.76317772753469,5.0095314093186145,1.4186283637008468,1.7732854546260586,4.211552954736889,0.8866427273130293,1.2412998182382409,22557
