body part,percentage
hair,3.125
hands,9.375
breast,12.5
face,6.25
eyes,6.25
tears,18.75
heart,3.125
senses,3.125
lips,3.125
soul,15.625
body,3.125
head,3.125
blood,6.25
ears,3.125
neck,3.125
