genre,emotion,bodyPart,bodilyProcess,emotionalAction,termcount
gruwel_en_spektakeltoneel,11.876749326173515,5.996378084967905,5.537609619168129,4.814892130078221,19372.555555555555
senecaans_scaligeriaans,11.272892008588066,4.507779895316264,3.838992872926038,3.0771048615445498,24300.444444444445
spaans,13.540188132100036,6.327199370050039,4.3884354430647905,3.842254682630982,20412.88888888889
vondels_toneel,6.911479342060951,3.940862589232232,3.3044882735656906,2.805955886903197,20859.444444444445
