body part,percentage
soul,16.560509554140125
eyes,3.821656050955414
spirit,8.9171974522293
tears,1.910828025477707
face,5.7324840764331215
wound,1.2738853503184715
breast,5.7324840764331215
heart,24.203821656050955
senses,2.547770700636943
blood,3.1847133757961785
ears,3.821656050955414
limbs,2.547770700636943
body,1.2738853503184715
hair,2.547770700636943
bile,0.6369426751592357
stomach,0.6369426751592357
hands,5.7324840764331215
arms,2.547770700636943
mind,3.821656050955414
voice,1.2738853503184715
veins,0.6369426751592357
head,0.6369426751592357
