body part,percentage
breast,6.7114093959731544
tongue,2.013422818791946
sweat,1.342281879194631
heart,20.13422818791946
soul,5.369127516778524
hands,10.738255033557047
body,4.026845637583892
eyes,5.369127516778524
tears,5.369127516778524
limbs,3.3557046979865772
neck,0.6711409395973155
lips,1.342281879194631
face,4.026845637583892
blood,10.738255033557047
head,3.3557046979865772
womb,0.6711409395973155
mind,2.013422818791946
hair,0.6711409395973155
spirit,2.013422818791946
bile,0.6711409395973155
jaws,0.6711409395973155
senses,2.684563758389262
wound,2.013422818791946
ears,0.6711409395973155
veins,0.6711409395973155
voice,0.6711409395973155
mouth,0.6711409395973155
breath,0.6711409395973155
arms,0.6711409395973155
