body part,percentage
tongue,1.574803149606299
throat,0.7874015748031495
limbs,0.7874015748031495
senses,2.3622047244094486
tears,3.149606299212598
face,7.874015748031496
cheeks,0.7874015748031495
hair,3.149606299212598
breast,4.724409448818897
shins,0.7874015748031495
sweat,3.149606299212598
spirit,3.149606299212598
neck,1.574803149606299
heart,15.748031496062993
hands,8.661417322834646
eyes,7.874015748031496
mind,6.299212598425196
soul,3.149606299212598
varia,3.149606299212598
blood,6.299212598425196
bones,0.7874015748031495
womb,0.7874015748031495
head,3.937007874015748
body,3.149606299212598
arms,0.7874015748031495
wrists,0.7874015748031495
lips,0.7874015748031495
tooth,0.7874015748031495
ears,0.7874015748031495
conscience,0.7874015748031495
mouth,0.7874015748031495
voice,0.7874015748031495
