body part,percentage
limbs,4.3478260869565215
tears,2.1739130434782608
eyes,2.898550724637681
breast,4.3478260869565215
soul,14.492753623188406
face,2.898550724637681
heart,30.434782608695656
neck,0.7246376811594203
head,2.898550724637681
senses,9.420289855072465
mind,3.6231884057971016
blood,3.6231884057971016
body,7.246376811594203
hands,3.6231884057971016
spirit,2.898550724637681
tongue,0.7246376811594203
varia,1.4492753623188406
hair,0.7246376811594203
arms,0.7246376811594203
womb,0.7246376811594203
