genre,filename,body part,count
vondels_toneel,vond001maeg04_01.xml,eyes,2
vondels_toneel,vond001maeg04_01.xml,conscience,1
vondels_toneel,vond001maeg04_01.xml,mouth,1
vondels_toneel,vond001maeg04_01.xml,hands,3
vondels_toneel,vond001maeg04_01.xml,blood,2
vondels_toneel,vond001maeg04_01.xml,head,2
vondels_toneel,vond001maeg04_01.xml,voice,1
vondels_toneel,vond001maeg04_01.xml,mind,1
vondels_toneel,vond001maeg04_01.xml,sweat,1
vondels_toneel,vond001maeg04_01.xml,face,2
vondels_toneel,vond001maeg04_01.xml,body,1
vondels_toneel,vond001maeg04_01.xml,varia,1
senecaans_scaligeriaans,cost001rako01_isabella.xml,limbs,1
senecaans_scaligeriaans,cost001rako01_isabella.xml,tears,1
senecaans_scaligeriaans,cost001rako01_isabella.xml,eyes,1
senecaans_scaligeriaans,cost001rako01_isabella.xml,breast,1
senecaans_scaligeriaans,cost001rako01_isabella.xml,soul,4
senecaans_scaligeriaans,cost001rako01_isabella.xml,neck,1
senecaans_scaligeriaans,cost001rako01_isabella.xml,head,1
senecaans_scaligeriaans,cost001rako01_isabella.xml,senses,2
senecaans_scaligeriaans,cost001rako01_isabella.xml,mind,1
senecaans_scaligeriaans,bred001gria01_01.xml,heart,11
senecaans_scaligeriaans,bred001gria01_01.xml,mind,2
senecaans_scaligeriaans,bred001gria01_01.xml,soul,3
senecaans_scaligeriaans,bred001gria01_01.xml,senses,3
senecaans_scaligeriaans,bred001gria01_01.xml,blood,2
senecaans_scaligeriaans,bred001gria01_01.xml,head,1
senecaans_scaligeriaans,bred001gria01_01.xml,limbs,1
senecaans_scaligeriaans,bred001gria01_01.xml,body,1
senecaans_scaligeriaans,bred001gria01_01.xml,hands,1
senecaans_scaligeriaans,bred001gria01_01.xml,breast,1
senecaans_scaligeriaans,bred001luce01_01.xml,heart,7
senecaans_scaligeriaans,bred001luce01_01.xml,spirit,2
senecaans_scaligeriaans,bred001luce01_01.xml,mind,1
senecaans_scaligeriaans,bred001luce01_01.xml,senses,4
senecaans_scaligeriaans,bred001luce01_01.xml,face,1
senecaans_scaligeriaans,bred001luce01_01.xml,eyes,2
senecaans_scaligeriaans,bred001luce01_01.xml,limbs,2
senecaans_scaligeriaans,bred001luce01_01.xml,body,2
senecaans_scaligeriaans,bred001luce01_01.xml,soul,3
senecaans_scaligeriaans,bred001luce01_01.xml,head,1
senecaans_scaligeriaans,bred001luce01_01.xml,tongue,1
senecaans_scaligeriaans,bred001luce01_01.xml,breast,1
senecaans_scaligeriaans,bred001rodd01_01.xml,heart,8
senecaans_scaligeriaans,bred001rodd01_01.xml,hands,2
senecaans_scaligeriaans,bred001rodd01_01.xml,body,2
senecaans_scaligeriaans,bred001rodd01_01.xml,soul,2
senecaans_scaligeriaans,bred001rodd01_01.xml,senses,1
senecaans_scaligeriaans,bred001rodd01_01.xml,varia,1
senecaans_scaligeriaans,bred001rodd01_01.xml,blood,1
senecaans_scaligeriaans,cost001rako01_ithys.xml,soul,2
senecaans_scaligeriaans,cost001rako01_ithys.xml,heart,2
senecaans_scaligeriaans,cost001rako01_ithys.xml,limbs,2
